"BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE"
"C10001",0.00214779453875906,0.818182,0.0019453677917649,0,0.00424,0,0.166667,0,0.083333,0,0,0.00558659217877095,0.0317195325542571,0.00397765906241101,0.00182564563158477,0,1
"C10002",0.168169097016747,0.909091,0,0,0,0.13668490864085,0,0,0,0.166666666666667,0.032520325203252,0,0.232053422370618,0.0808924900738522,0.0140344791051438,0.222222,1
"C10003",0.131026135956446,1,0.0157662475425457,0.0189682602962372,0,0,1,1,0,0,0,0.0335195530726257,0.248747913188648,0.0122633999440217,0.00820961806220677,0,1
"C10005",0.0429401031990391,1,0.000326267134887194,0.000392529669723083,0,0,0.083333,0.083333,0,0,0,0.00279329608938547,0.0383973288814691,0.0133727538548305,0.00320356347127706,0,1
"C10006",0.0950383648839028,1,0.0271878403501499,0,0.0592568888888889,0,0.666667,0,0.583333,0,0,0.0223463687150838,0.0584307178631052,0.0276019061531875,0.0315056531907138,0,1
"C10007",0.0329389403970183,1,0.144597719759778,0.157076389953694,0.0305946666666667,0,1,1,1,0,0,0.17877094972067,0.449081803005008,0.125277704770088,0.00259202474640728,1,1
"C10008",0.095764295221302,1,0.00889485776486213,0,0.0193866666666667,0,1,0,1,0,0,0.0335195530726257,0.0751252086811352,0.0133871524816951,0.00696298085849036,0,1
"C10009",0.0532961764575849,1,0.0175672421271231,0.0162284032015701,0.00888888888888889,0,0.333333,0.083333,0.25,0,0,0.0139664804469274,0.232053422370618,0.0135688012502964,0.00408270917196488,0,1
"C10010",0.00799374402073352,0.545455,0.0261339975044643,0.0314416265448189,0,0,0.166667,0.166667,0,0,0,0.00837988826815642,0.365609348914858,0.0229630944880887,0.00131249969611673,0,1
"C10011",0.0679050322994657,1,0.0187628072595253,0,0.0408942222222222,0,1,0,1,0,0,0.0335195530726257,0.0383973288814691,0.0213568783813881,0.0284358983051004,0,1
"C10012",0.0331245157941024,0.818182,0.0304280808334983,0.0366078076604618,0,0,0.25,0.25,0,0,0,0.0167597765363128,0.0651085141903172,0.0139106697205827,0.00203556687415557,0,1
"C10013",0.079657490030887,1,0.0656202735872276,0.0613384035082339,0.0319004444444444,0,1,0.25,0.916667,0,0,0.0726256983240224,0.0984974958263773,0.0119912654250797,0.00641555167900338,0.25,1
"C10014",0.0484002868590166,1,0.0435960184805862,0.0103029225060566,0.0763542222222222,0,0.75,0.166667,0.75,0,0,0.0726256983240224,0.248747913188648,0.0326458026994033,0.00328662937387576,0.083333,1
"C10015",0.145604818515798,1,0,0,0,0.00735748630542249,0,0,0,0.0555553333333333,0.00813008130081301,0,0.0984974958263773,0.0158828014095593,0.0129563288561731,0,1
"C10016",0.361611254851889,1,0.0328652963311057,0,0.0716311111111111,0.0488253585875653,0.5,0,0.5,0.111111333333333,0.032520325203252,0.0307262569832402,0.265442404006678,0.039300737633187,0.0276140895439224,0,1
"C10017",0.108809498364538,0.875,0,0,0,0.0590674458467375,0,0,0,0.166666666666667,0.024390243902439,0,0.0984974958263773,0.00772701044261155,0.00492840273932473,0,0.333333333333333
"C10018",0.00215770572012264,0.454545,0.0105832901879034,0,0.0230666666666667,0,0.416667,0,0.333333,0,0,0.0223463687150838,0.0818030050083473,0.00501841390698491,0.000957828934719987,0.25,1
"C10019",0.104450861486564,1,0.0102845518425223,0.00407249532337698,0.0150377777777778,0,0.666667,0.083333,0.583333,0,0,0.0251396648044693,0.432387312186978,0.0339262463516058,0.00974520844464797,0,1
"C10020",0.187887669972402,1,0.00812894566571444,0,0.0177173333333333,0,1,0,1,0,0,0.0335195530726257,0.131886477462437,0.0207788083077296,0.163148175364489,0,1
"C10021",0.105900856607536,1,0.00360280483699184,0,0.00785244444444444,0,0.666667,0,0.666667,0,0,0.0223463687150838,0.0651085141903172,0.0043969397172945,0.177436911702165,0,1
"C10022",0.334479072235454,1,0.129690166532863,0.144991628078138,0.019996,0.00485875673270837,1,0.916667,1,0.222222,0.0487804878048781,0.256983240223464,0.373956594323873,0.0409670898553058,0.0217227942878784,0,1
"C10023",0.00694960232437651,0.636364,0.0166375847096539,0,0.0362622222222222,0,1,0,1,0,0,0.0474860335195531,0.0584307178631052,0.0465203813464268,0.00112962566064314,0,1
"C10024",0.199554887710695,0.818182,0.0866310614061257,0.0847510809899108,0.0352795555555556,0.169174529596742,1,0.083333,0.916667,0.222222,0.105691056910569,0.0363128491620112,0.298831385642738,0.186883406285263,0.0186556533266642,0,1
"C10025",0.281916302929006,1,0,0,0,0.0169494510423711,0,0,0,0.242424,0.032520325203252,0,0.198664440734558,0.0280488362827335,0.0216865119125942,0,0.833333333333333
"C10026",0.00891563533317063,1,0.00814852169380768,0,0.01776,0,1,0,1,0,0,0.0335195530726257,0.0984974958263773,0.00424389873616973,0.00213315670503629,0,1
"C10027",0.0848582409306379,1,0.00207995298490586,0.00250237664448465,0,0.0051942080547023,0.166667,0.166667,0,0.166666666666667,0.040650406504065,0.00558659217877095,0.0550918196994992,0.0175493724149253,0.0127105417359957,0,1
"C10028",0.00660053050624865,1,0.00475697482665529,0,0.010368,0,1,0,1,0,0,0.0335195530726257,0.0317195325542571,0.00409539293835019,0.00215597269726789,0,1
"C10029",0.37561373349583,1,0.00789260590988053,0.00501824649636603,0.00811111111111111,0.047439065135744,0.666667,0.166667,0.416667,0.555555333333333,0.130081300813008,0.0223463687150838,0.348914858096828,0.0315724283116795,0.0215798251091391,0,1
"C10030",0.00115860575873476,1,0.00203916959304496,0,0.00444444444444444,0,0.416667,0,0.416667,0,0,0.0139664804469274,0.228714524207012,0.00316864583293924,0.00208969040902787,0,1
"C10031",0.637301457517725,1,0.0619501761536653,0.0248569413352142,0.0899915555555555,0.0675386426589946,1,0.166667,1,0.333333333333333,0.0813008130081301,0.17877094972067,0.432387312186978,0.0834020976370763,0.0430854612406326,0,1
"C10032",0.0610337062001612,1,0.0274820925224263,0.00981324174307706,0.0421204444444444,0.00372987176023837,1,0.083333,1,0.111111333333333,0.016260162601626,0.125698324022346,0.198664440734558,0.0127352232972847,0.00336137469389245,0,1
